timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z
327766.68,-2.672807,0.033967,0.746778,0.046341,-0.017162,-0.015522,-0.451543,-0.03396,0.891603,-0.016261,-0.008185,-0.018129
327766.69,-2.673105,0.033605,0.747246,0.055985,-0.033263,-0.028202,-0.451283,-0.033598,0.891748,-0.015102,-0.016298,-0.018427
327766.7,-2.673553,0.03321,0.747764,0.059146,-0.045002,-0.028139,-0.450889,-0.033204,0.891962,-0.009484,-0.018325,-0.01301
327766.71,-2.674169,0.034118,0.748218,0.054825,-0.041739,-0.019647,-0.450325,-0.034112,0.892213,0.004189,-0.014655,-0.004411
327766.72,-2.674477,0.033712,0.748547,0.051601,-0.025668,-0.009046,-0.450057,-0.033705,0.892364,0.013915,-0.013917,0.013734
327766.73,-2.67461,0.033291,0.74873,0.04301,-0.007417,0.00684,-0.449944,-0.033285,0.892436,0.027139,-0.00474,0.027196
327766.74,-2.674572,0.032885,0.74873,0.034403,0.006568,0.022739,-0.449985,-0.032879,0.892431,0.039447,0.000988,0.036891
327766.76,-2.679229,0.031238,0.748222,-0.002167,0.007961,0.061927,-0.445847,-0.031232,0.894564,0.04477,0.001096,0.024122
327766.75,-2.679339,0.031519,0.748703,0.02046,0.017344,0.037537,-0.445745,-0.031514,0.894605,0.048605,0.011738,0.035281
327766.77,-2.679201,0.031072,0.747495,-0.022589,-0.001487,0.076725,-0.445875,-0.031067,0.894556,0.047819,0.009766,0.014563
327766.79,-2.679461,0.030895,0.745618,-0.033449,-0.021618,0.092708,-0.445645,-0.03089,0.894677,0.054226,0.023779,-0.003899
327766.78,-2.679292,0.030987,0.746582,-0.035542,-0.0163,0.08947,-0.445794,-0.030982,0.894599,0.050256,0.021002,0.000039
327766.8,-2.679717,0.030773,0.744604,-0.034581,-0.029046,0.098059,-0.445417,-0.030768,0.894795,0.039472,-0.003228,-0.008
327766.82,-2.680133,0.030552,0.742766,-0.033372,-0.023824,0.08097,-0.445048,-0.030547,0.894986,0.051387,0.005034,0.003406
327766.81,-2.679929,0.030637,0.743644,-0.030224,-0.021646,0.089533,-0.445229,-0.030632,0.894892,0.04934,0.005089,0.001653
327766.83,-2.680285,0.030571,0.741931,-0.040748,-0.014259,0.072335,-0.444911,-0.030566,0.895053,0.053767,-0.003492,0.007672
327766.84,-2.680166,0.030676,0.741167,-0.044825,0.018742,0.061522,-0.445017,-0.030671,0.894997,0.054422,-0.010619,0.015983
327766.85,-2.67975,0.030811,0.740526,-0.040365,0.044236,0.047603,-0.445387,-0.030806,0.894808,0.049025,-0.012682,0.016996
327766.86,-2.679048,0.030868,0.739887,-0.031791,0.074129,0.057197,-0.446014,-0.030863,0.894494,0.059067,-0.018255,0.007789
327766.87,-2.678189,0.030842,0.739271,-0.022156,0.089052,0.060439,-0.446783,-0.030837,0.894111,0.039984,-0.025941,0.005883
327766.88,-2.677374,0.030681,0.738586,-0.020123,0.073091,0.066912,-0.447513,-0.030676,0.893751,0.05524,-0.028635,-0.003034
327766.89,-2.676622,0.030463,0.737858,-0.012724,0.067785,0.074466,-0.448189,-0.030458,0.89342,0.044594,-0.010191,0.006269
327766.9,-2.678555,0.03085,0.737198,-0.015952,0.062459,0.075522,-0.446455,-0.030845,0.894274,0.030699,-0.00718,0.009031
327766.91,-2.678957,0.031049,0.736533,-0.0255,0.057083,0.064778,-0.446093,-0.031044,0.894448,0.010837,-0.0037,0.007652
327766.92,-2.678807,0.032484,0.73587,-0.036114,0.063475,0.059324,-0.446207,-0.032478,0.89434,0.008341,-0.019875,-0.00135
327766.93,-2.678143,0.032558,0.735134,-0.041494,0.066735,0.066742,-0.4468,-0.032552,0.894042,0.009834,-0.034159,-0.0175
327766.94,-2.677533,0.032572,0.734168,-0.043874,0.056257,0.095582,-0.447345,-0.032567,0.893769,0.016757,-0.054103,-0.035507
327766.95,-2.676962,0.03234,0.732844,-0.035686,0.053328,0.142643,-0.447858,-0.032334,0.89352,0.030775,-0.085677,-0.045924
327766.97,-2.676598,0.03725,0.729018,0.017815,0.037932,0.263799,-0.448107,-0.037241,0.893204,0.028338,-0.093237,-0.023834
327766.96,-2.677075,0.038457,0.73115,-0.006257,0.046144,0.201635,-0.44766,-0.038448,0.893377,0.030943,-0.097554,-0.040197
327766.98,-2.676418,0.035671,0.726348,0.022554,-0.000071,0.328021,-0.448294,-0.035663,0.893175,0.005468,-0.057919,-0.010835
327766.99,-2.676482,0.033982,0.723082,-0.00248,-0.020977,0.384456,-0.448263,-0.033976,0.893256,-0.00593,-0.016623,0.007776
327767,-2.676705,0.032449,0.719315,-0.039055,-0.037746,0.415152,-0.448087,-0.032443,0.893401,-0.027896,0.028659,0.023606
327767.01,-2.677031,0.031171,0.715334,-0.073264,-0.048302,0.417022,-0.447813,-0.031166,0.893584,-0.025179,0.060021,0.02852
327767.02,-2.677565,0.030111,0.711417,-0.082775,-0.071888,0.392452,-0.447351,-0.030107,0.893852,-0.03057,0.066468,0.02607
327767.03,-2.678132,0.029126,0.707853,-0.065396,-0.063637,0.355207,-0.446857,-0.029122,0.894131,-0.020657,0.059533,0.028278
327767.04,-2.678544,0.028168,0.70476,-0.049001,-0.0469,0.310454,-0.4465,-0.028164,0.89434,-0.01314,0.047024,0.031975
327767.05,-2.678821,0.027259,0.702238,-0.026121,-0.031319,0.254016,-0.446264,-0.027256,0.894486,-0.025324,0.057224,0.0307
327767.06,-2.679047,0.026425,0.700347,-0.004314,-0.028565,0.192268,-0.446072,-0.026422,0.894607,-0.036197,0.063272,0.024491
327767.07,-2.679369,0.025785,0.699238,0.013372,-0.036622,0.104892,-0.445791,-0.025782,0.894765,-0.04719,0.063166,0.007349
327767.08,-2.679772,0.025376,0.699142,0.03972,-0.04267,0.001568,-0.445436,-0.025373,0.894954,-0.054351,0.0632,-0.025264
