timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z
351813,2.665175,-0.774741,-1.891055,1.527909,0.511869,-1.243905,0.327715,0.699531,0.635027,0.081739,0.081063,0.105818
351813.01,2.674701,-0.795929,-1.886788,1.841311,0.711521,-1.235368,0.314908,0.714514,0.624742,0.129046,-0.023978,0.033492
351813.02,2.685713,-0.817808,-1.884144,1.87654,0.978806,-1.10774,0.301054,0.729649,0.613986,0.196214,-0.004475,0.149548
351813.03,2.696949,-0.837666,-1.882804,1.730015,1.013532,-0.905184,0.287846,0.743083,0.604129,0.21313,0.409657,0.311856
351813.04,2.703983,-0.855271,-1.88203,1.521356,0.510489,-0.78269,0.278003,0.754749,0.594196,0.236493,0.933453,0.352398
351813.05,2.710887,-0.870725,-1.880239,1.333964,0.705256,-0.756085,0.268992,0.764796,0.585432,0.083166,1.373632,0.513521
351813.06,2.727112,-0.885988,-1.877899,1.355686,1.665783,-0.788701,0.254727,0.77454,0.578966,-0.093732,1.376888,0.377684
351813.07,2.74724,-0.902599,-1.87296,1.442143,1.542702,-0.993649,0.238046,0.78494,0.572017,-0.016092,0.792971,-0.047359
351813.08,2.763808,-0.920564,-1.866315,1.504123,1.049259,-1.091982,0.223299,0.795943,0.562683,0.073042,0.074433,-0.092376
351813.09,2.78019,-0.939097,-1.857779,1.579186,0.972819,-1.175448,0.208799,0.807025,0.552371,0.023989,-0.325091,-0.041919
351813.1,2.799602,-0.958977,-1.847889,1.723692,1.219289,-1.259286,0.192619,0.818604,0.541096,-0.059715,-0.500977,-0.058506
351813.11,2.82314,-0.980898,-1.836407,1.928167,1.48147,-1.361867,0.174169,0.830997,0.528308,-0.077016,-0.6133,-0.082019
351813.12,2.850196,-1.004392,-1.823248,2.07855,1.652439,-1.409122,0.15416,0.843836,0.51398,-0.076233,-0.66926,-0.080127
351813.13,2.877367,-1.029122,-1.810416,2.267595,1.603539,-1.299482,0.134647,0.856847,0.497678,-0.086628,-0.625508,-0.154554
351813.14,2.899064,-1.05504,-1.801378,2.445091,1.340292,-1.02486,0.118444,0.86992,0.478759,-0.074346,-0.511994,-0.284347
351813.15,2.913673,-1.080492,-1.797941,2.459894,1.108893,-0.674877,0.106399,0.88219,0.458716,-0.107544,-0.278552,-0.279548
351813.16,2.922158,-1.105607,-1.799585,2.4984,0.992904,-0.446759,0.097649,0.893737,0.437835,-0.135216,0.16237,-0.218017
351813.17,2.931244,-1.131038,-1.802104,2.534435,1.215643,-0.45139,0.088891,0.904855,0.416337,-0.103784,0.581657,-0.09427
351813.18,2.94736,-1.156205,-1.800744,2.433417,1.602,-0.614671,0.077749,0.915281,0.395241,-0.065923,0.879534,-0.023736
351813.19,2.971693,-1.179063,-1.792992,2.134814,1.734295,-0.738332,0.064555,0.924249,0.376294,-0.068125,1.001349,-0.070157
351813.2,2.996451,-1.199249,-1.782605,1.895438,1.451611,-0.690448,0.05251,0.931767,0.359241,-0.110905,0.741024,-0.183078
351813.21,3.021486,-1.218023,-1.770623,1.811848,1.39865,-0.67073,0.041397,0.938418,0.343013,-0.095719,0.341535,-0.108775
351813.22,3.047969,-1.236727,-1.757669,1.839436,1.446845,-0.624722,0.030653,0.944716,0.326455,-0.038725,0.068575,-0.033013
351813.23,3.074224,-1.255656,-1.744815,1.880351,1.410981,-0.543108,0.020865,0.950753,0.309247,0.010507,-0.070229,-0.034054
351813.24,3.099812,-1.274803,-1.732594,1.918141,1.403938,-0.458404,0.012183,0.956513,0.291435,0.010003,-0.129914,-0.0019
351813.25,3.127144,-1.294527,-1.718474,1.999099,1.381396,-0.445885,0.003941,0.96208,0.27274,-0.066731,-0.090574,-0.006703
351813.26,-3.128671,-1.314245,-1.704534,1.972821,1.416261,-0.338377,-0.003279,0.967271,0.253725,-0.097704,-0.107667,0.000807
351813.27,-3.104927,-1.333054,-1.694062,1.877382,1.341881,-0.167077,-0.008633,0.971872,0.235351,-0.142475,-0.140177,-0.035201
